Unnamed: 0,DateTime,Date,Time,COD(mg/l)
0.0,04 Aug 14:26,04 Aug 2021,14:26:24,6.25
1.0,09 Aug 11:41,09 Aug 2021,11:41:48,7.32
2.0,09 Aug 15:16,09 Aug 2021,15:16:19,22.92
3.0,19 Aug 21:09,19 Aug 2021,21:09:25,8.12
4.0,23 Aug 15:16,23 Aug 2021,15:16:38,3.89
5.0,28 Aug 10:21,28 Aug 2021,10:21:18,1.42
6.0,28 Aug 11:35,28 Aug 2021,11:35:06,1.5
7.0,28 Aug 12:45,28 Aug 2021,12:45:39,1.48
8.0,28 Aug 15:26,28 Aug 2021,15:26:51,1.46
,03 Sep 02:17,03 Sep 2021,02:17:33,2.17
,10 Sep 17:38,10 Sep 2021,17:38:26,4.07
,10 Sep 23:30,10 Sep 2021,23:30:16,4.16
,12 Sep 18:42,12 Sep 2021,18:42:45,3.68
,12 Sep 22:00,12 Sep 2021,22:00:04,3.87
