Unnamed: 0,DateTime,Date,Time,COD(mg/l)
0.0,04 Aug 14:26,04 Aug 2021,14:26:24,18.58
1.0,09 Aug 11:41,09 Aug 2021,11:41:48,15.94
2.0,09 Aug 12:57,09 Aug 2021,12:57:04,21.3
3.0,09 Aug 13:57,09 Aug 2021,13:57:19,0.0
4.0,10 Aug 00:49,10 Aug 2021,00:49:39,13.85
5.0,10 Aug 08:24,10 Aug 2021,08:24:01,0.0
6.0,10 Aug 09:26,10 Aug 2021,09:26:56,14.36
7.0,10 Aug 10:27,10 Aug 2021,10:27:28,14.37
8.0,10 Aug 19:26,10 Aug 2021,19:26:33,0.0
9.0,11 Aug 10:20,11 Aug 2021,10:20:04,15.5
10.0,11 Aug 12:13,11 Aug 2021,12:13:36,15.42
11.0,11 Aug 16:56,11 Aug 2021,16:56:21,0.0
12.0,12 Aug 10:59,12 Aug 2021,10:59:37,15.25
13.0,12 Aug 12:14,12 Aug 2021,12:14:31,15.24
14.0,16 Aug 10:05,16 Aug 2021,10:05:25,0.0
15.0,16 Aug 15:15,16 Aug 2021,15:15:28,13.88
16.0,16 Aug 16:15,16 Aug 2021,16:15:54,13.86
17.0,16 Aug 17:19,16 Aug 2021,17:19:32,14.5
18.0,16 Aug 18:19,16 Aug 2021,18:19:53,17.99
19.0,16 Aug 19:20,16 Aug 2021,19:20:17,17.24
20.0,16 Aug 23:18,16 Aug 2021,23:18:09,18.67
21.0,19 Aug 21:09,19 Aug 2021,21:09:25,15.52
22.0,19 Aug 22:09,19 Aug 2021,22:09:52,17.73
23.0,23 Aug 15:16,23 Aug 2021,15:16:38,0.0
,03 Sep 02:17,03 Sep 2021,02:17:33,21.04
,03 09 10:54,03 Sep 2021,10:54:46,17.32
,10 Sep 17:38,10 Sep 2021,17:38:26,0.0
,10 Sep 23:30,10 Sep 2021,23:30:16,15.51
,12 Sep 18:42,12 Sep 2021,18:42:45,16.93
,12 Sep 22:00,12 Sep 2021,22:00:04,22.39
